URI (Extra in Zotero),Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,,,,,,,,,,,,,,,,Subject Date Span
jp_cite_00240,Cultural Exchange,Transportation,Subsequent Commercial Careers,Wares,,,,,,,"Winston County, Mississippi","Louisville, Mississippi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morris, J.","Gordon, J.","Glazer, Louis",Kaplan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865-1920
jp_cite_00241,Subsequent Commercial Careers,,,,,,,,,,"Portland, Oregon","Washington County, Oregon","Yamhill County, Oregon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Weil, Abram","Weil, Moses","Weil, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1870
jp_cite_00242,Contextual Resource,Subsequent Commercial Careers,,,,,,,,,"Hesse-Darmstadt, Germany",Bavaria,Prussia,"Portland, Oregon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1880
jp_cite_00243,Cultural Exchange,Subsequent Commercial Careers,Anti-Semitic Rhetoric,,,,,,,,"Oudtshoorn, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914-1948
jp_cite_00244,Wares,Bartering,Non-peddling Background,Subsequent Commercial Careers,Subsquent Non-commercial Careers,Sponsor,,,,,Russia,"Paterson, New Jersey","Passaic, New Jersey","Poznan, Poland","New York, New York","San Francisco, California","Marysville, California","Bialystock, Poland","Lodz, Poland","Warsaw, Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barnert, Nathan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838-1930
jp_cite_00245,Subsequent Commercial Careers,Contextual Resource,,,,,,,,,Germany,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1924
jp_cite_00246,Family,Wares,Sponsor,Transportation,Subsequent Commercial Careers,,,,,,Romania,"Alsace, France","Jackson, Mississippi","New Orleans, Louisiana","Rochester, New York","Ridgeland, Mississippi",Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Moise","Cohn, Gershon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1920
jp_cite_00247,Victims of Crime,Sponsor,Wares,,,,,,,,"Detroit, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1900
jp_cite_00248,Subsequent Commercial Careers,,,,,,,,,,"San Francisco, California","Sacramento, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frank, Bernard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1906
jp_cite_00249,Subsequent Commercial Careers,Wares,,,,,,,,,"Lismore, Austrlia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1895
jp_cite_00250,Wares,Restrictions on Itinerant Commerce,,,,,,,,,"Lukashivka, Ukraine","New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Morris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910-1930
jp_cite_00251,Cultural Exchange,,,,,,,,,,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718-1788
jp_cite_00252,Cultural Exchange,,,,,,,,,,Germany,Prussia,Russia,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shine, Samuel","Shine, William","Rosenburg, Simon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1880
jp_cite_00253,Sponsor,Cultural Exchange,Routes,Transportation,Subsequent Commercial Careers,Subsquent Non-commercial Careers,,,,,"Dobryzn, Pomeranian Voivodeship, Poland","New York, New York","Newark, New Jersey","San Francisco, California","Folsom, California","Saint Louis, California","La Porte, California","Pine Grove, California","Downieville, California","Poker Flat, California","Marysville, California",Poland,"New Bedford, Massachusetts","Szczecin, Poland",,,,,,,,,,,,,,,,,,,,,,,"Cohn, Henry (Heiman)",Flatow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1860
jp_cite_00254,Wares,Cultural Exchange,,,,,,,,,"Greenville County, South Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1910
jp_cite_00255,Contextual Resource,,,,,,,,,,"Billings, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1910
jp_cite_00256,Routes,Cultural Exchange,Subsequent Commercial Careers,Wares,Transportation,Family,Sponsor,,,,"Harrisburg, Pennsylvania",Germany,Russia,Bohemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Heilbrunner, Jacob","Neumann, Joseph","Oppenheimer, Henry","Ansbacher, Barney","Claster, Hyman","Tausig, Jacob","Krauss, Leah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1905
jp_cite_00257,Subsequent Commercial Careers,Sponsor,Wares,Routes,,,,,,,Lithuania,England,"Glasgow, Scotland","Edinburgh, Scotland","Ayrshire, Scotland","Lanarkshire, Scotland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1914
jp_cite_00258,Wares,Sponsor,Subsequent Commercial Careers,Victims of Crime,Religious Practices,,,,,,Lithuania,"Glasgow, Scotland","Manchester, England","London, England","Ayrshire, Scotland","Lanarkshire, Scotland","California, Scotland","Falkirk, Scotland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1925
jp_cite_00259,Literary or Artistic Depiction,Wares,Family,Victims of Crime,,,,,,,Germany,"Harlan County, Kentucky",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loeb, Gus","Loeb, Julia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896
jp_cite_00260,Routes,Transportation,Cultural Exchange,Sponsor,Subsequent Commercial Careers,Wares,,,,,"Altenstadt(Iller), Altenstadt, Germany","Richmond, Virginia",South Carolina,"Georgia, United States","Saint Louis, Missouri","Jonesborough, Tennessee","Salisbury, North Carolina","Alamance County, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cone, Herman","Cone, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1900
jp_cite_00261,Contextual Resource,Sponsor,,,,,,,,,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1888
jp_cite_00262,Subsequent Commercial Careers,Wares,Sponsor,Transportation,,,,,,,Russia,"Sioux City, Iowa",South Dakota,Nebraska,"New York, New York","Akron, Ohio","Omaha, Nebraska",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davidson, Ben","Davidson, Dave",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1869-1910
jp_cite_00263,Subsequent Commercial Careers,Non-peddling Background,Subsequent Non-commercial Careers,Wares,Sponsor,Transportation,Victims of Crime,,,,"Ostrolenka, Poland",Ottoman Empire,"Havana, Cuba","Carretera Central, Cuba","Siliviri, Turkey","Kirklareli, Turkey","Piedrecitas, Cuba","Erdine, Turkey","Banes, Turkey","Galata, Turkey","Pinsk, Belarus",Lithuania,"Yaguajay, Cuba","Iguara, Cuba","Santa Clara, Cuba","Istanbul, Turkey",Russia,"Sofia, Bulgaria","Guimes, Cuba","Pedro Betancourt, Cuba","Manguito, Cuba",,,,,,,,,,,,,,,,"Ojalvo, Jose","Cohen, Alberto","Schved, Salmon","Blumenkrantz, Jose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1940
jp_cite_00264,Subsequent Commercial Careers,Non-peddling Background,Wares,Routes,Sponsor,Transportation,,,,,"Ostrolenka, Poland",Ottoman Empire,"Havana, Cuba","Pedro Betancourt, Cuba","Manguito, Cuba","Colon, Cuba",France,"Erdine, Turkey","Pinsk, Belarus",Lithuania,"Yaguajay, Cuba","Dardanelles, Turkey","Istanbul, Turkey",,,,,,,,,,,,,,,,,,,,,,,,"Blumenkrantz, Jose","Adato, Mordjai Albalah","Cohen, Alberto","Schved, Salmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1940
jp_cite_00265,Subsequent Commercial Careers,Cultural Exchange,,,,,,,,,Southern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865-1877
jp_cite_00266,Wares,Sponsor,Transportation,,,,,,,,Russia,Poland,Lithuania,"Glasgow, Scotland","Lanarkshire, Scotland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cowan, Lily","Cowan, Evelyn",Jeanie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920-1940
jp_cite_00267,Subsequent Commercial Careers,Contextual Resource,,,,,,,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830-1840
jp_cite_00268,Sponsor,Religious Practice,,,,,,,,,Grodzisk Wielkopolski,"Manchester, England","New York, New York","Lipno, Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816-1900
jp_cite_00269,Family,Subsequent Commercial Careers,Victims of Crime,,,,,,,,"Koblenz, Germany","Albuquerque, New Mexico","San Francisco, California","Socorro, New Mexico","Manzano, New Mexico","White Oaks, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zeigler, Jake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884-1930
jp_cite_00270,Literary or Artistic Depiction,Transportation,Wares,Routes,Bartering,Cultural Exchange,,,,,"Appling County, Georgia","Pierce County, Georgia","Jeff Davis County, Georgia","Bacon County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940
jp_cite_00271,Contextual Resource,Restrictions on Itinerant Commerce,,,,,,,,,"Mexico City, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950-1980
jp_cite_00272,Contextual Resource,Routes,Subsequent Commercial Careers,,,,,,,,Germany,"Bangor, Maine",Eastern Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840
jp_cite_00273,Wares,Cultural Exchange,,,,,,,,,Yemen,Palestine,"New York, New York","Brooklyn, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1940
jp_cite_00274,Literary or Artistic Depiction,Wares,,,,,,,,,"Limerick, Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921-1922
jp_cite_00275,Cultural Exchange,,,,,,,,,,"Vilnius, Lithuania",New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danoff, Sam","Danoff, Simon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00276,Family,,,,,,,,,,"Vancouver Island, Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858-1870
jp_cite_00277,Family,Routes,,,,,,,,,"Riga, Latvia","Baltimore, Maryland",Southern United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garonzik, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00278,Contextual Resource,,,,,,,,,,Eastern Europe,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1920
jp_cite_00279,Contextual Resource,,,,,,,,,,"Quito, Ecuador",Germany,Austria,Czechoslovakia,Hungary,Poland,Romania,Argentina,Colombia,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935-1985
jp_cite_00280,Cultural Exchange,Transportation,Wares,Sponsor,,,,,,,Russia,"Mingo County, West Virginia","Williamson, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1935
jp_cite_00281,Contextual Resource,,,,,,,,,,"Ossining, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901-1903
jp_cite_00282,Literary or Artistic Depiction,Transportation,Sponsor,,,,,,,,Russia,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1907
jp_cite_00283,Literary or Artistic Depiction,Transportation,Sponsor,Subsequent Commercial Careers,,,,,,,Russia,Poland,Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00284,Transportation,Sponsor,Non-peddling Background,Subsequent Commercial Careers,Cultural Exchange,Routes,Family,,,,"Syracuse, New York",Germany,Poland,"New York, New York","Oswego, New York","Ogdensburg, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stein, Jacob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825-1910
jp_cite_00285,Sponsor,Wares,Transportation,Cultural Exchange,Subsequent Commercial Careers,,,,,,"New York, New York","Uniontown, Pennsylvania","Pittsburgh, Pennsylvania","Farmington, Pennsylvania","Chalk Hill, Pennsylvania","Markleysburg, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Barney",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1910
jp_cite_00286,Peddling Background,Wares,Transportation,Subsequent Commercial Careers,,,,,,,"London, United Kingdom","Wellington, New Zealand","Otago, New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nathan, Edward","Nathan, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820-1885
jp_cite_00287,Cultural Exchange,Religious Practice,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1880
jp_cite_00288,Wares,Religious Practice,Subsequent Commercial Careers,,,,,,,,"Lengnau, Switzerland","Philadelphia, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guggenheim, Simon","Guggenheim, Meyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1900
jp_cite_00289,Wares,Restrictions on Itinerant Commerce,Routes,,,,,,,,Romania,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davis, Max",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882-1915
jp_cite_00290,Transportation,Cultural Exchange,Subsequent Commercial Careers,Wares,,,,,,,Germany,Ottoman Empire,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840-1930
jp_cite_00291,Subsequent Commercial Careers,Sponsor,Religious Practices,Anti-Semitic Rhetoric,Wares,,,,,,"San Francisco, California",Germany,"Orange County, New York","Selma, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Strauss, Levi","Helbing, August ","Scholle, Jacob","Scholle, William",Seligman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1880
jp_cite_00292,Transportation,Non-peddling Background,Routes,Sponsor,Anti-Semitic Rhetoric,,,,,,Germany,"Philadelphia, Pennsylvania","New York, New York","Baltimore, Maryland",Russia,"Wilmington, North Carolina","Fayetteville, North Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830-1880
jp_cite_00293,Wares,Subsequent Commercial Careers,,,,,,,,,"Columbus, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodman, S.H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1866
jp_cite_00294,Religious Practices,,,,,,,,,,"Louisville, Kentucky","Philadelphia, Pennsylvania","Harrisburg, Pennsylvania","Rochester, New York","Baltimore, Maryland","New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856
jp_cite_00295,Religious Practices,,,,,,,,,,"Cincinnati, Ohio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1859
jp_cite_00296,Anti-Semitic Rhetoric,Sponsor,Subsequent Commercial Careers,,Family,,,,,,"Albany, New York","Buffalo, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Samson, James ","Schutz, Marx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850
jp_cite_00297,Transportation,Subsquent Commercial Careers,Family,,,,,,,,"San Antonio, Texas","Galveston, Texas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1914
jp_cite_00298,Subsequent Business Careers,Transportation,Routes,Wares,,,,,,,Germany,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00299,Family,,,,,,,,,,"Philadelphia, Pennsylvania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876
jp_cite_00300,Cultural Exchange,,,,,,,,,,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jp_cite_00301,Cultural Exchange,Family,,,,,,,,,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1878
jp_cite_00302,Wares,Sponsor,,,,,,,,,"Savannah, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865-1886
jp_cite_00303,Family,Subsequent Commercial Careers,,,,,,,,,Germany,"Norfolk, Virginia","Santa Fe, New Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858-1900
jp_cite_00304,Restrictions on Itinerant Commerce,,,,,,,,,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901
jp_cite_00305,Subsequent Commercial Careers,Family,,,,,,,,,"Aleppo, Syria","Damascus, Syria","Mexico City, Mexico",Turkey,Greece,Balkans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1923-1943
jp_cite_00306,Wares,Family,Subsequent Commercial Careers,Routes,Transportation,,,,,,"Old Forge, New York",Lithuania,"Dannemora, New York","Bloomingdale, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Moses","Cohen, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880-1920
jp_cite_00307,Wares,Transportation,Subsequent Commercial Careers,,,,,,,,"Old Forge, New York","Utica, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1902
jp_cite_00308,Wares,Subsequent Commercial Careers,,,,,,,,,"Old Forge, New York","Utica, New York","Adirondacks, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900
jp_cite_00309,Subsequent Commercial Careers,,,,,,,,,,"Old Forge, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Moses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1900
jp_cite_00310,Routes,Subsequent Commercial Careers,Family,Transportation,,,,,,,"Old Forge, New York","Bloomington, New York",Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cohen, Moses","Cohen, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890-1920
jp_cite_00311,Cultural Exchange,,,,,,,,,,"Paris, France",Russia,Romania,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924
jp_cite_00312,Cultural Exchange,Anti-Semitic Rhetoric,,,,,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896
jp_cite_00313,Restrictions on Itinerant Commerce,Anti-Semitic Rhetoric,,,,,,,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917-1941
jp_cite_00314,Cultural Exchange,Subsequent Non-Commercial Careers,Anti-Semitic Rhetoric,,,,,,,,"Kingston, Jamaica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hart, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836-1852
jp_cite_00315,Subsequent Commercial Careers,,,,,,,,,,"Mineral Point, Wisconsin",Germany,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deller, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846-1907
jp_cite_00316,Subsequent Commercial Careers,,,,,,,,,,"Mineral Point, Wisconsin",Germany,"New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deller, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846-1881
jp_cite_00317,Transportation,Routes,Subsequent Commercial Careers,,,,,,,,Bavaria,New Jersey,Michigan,"New York, New York","Mineral Point, WIsconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deller, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829-1901
jp_cite_00318,Subsequent Commercial Careers,,,,,,,,,,"Mineral Point, Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deller, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891
jp_cite_00319,Subsequent Commercial Careers,,,,,,,,,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spiegelberg, Solomon","Spiegelberg, Emmanual","Spiegelberg, Levi","Spiegel, Marcus","Spiegel, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861-1862
jp_cite_00320,Wares,Transportation,Victims of Crime,Bartering,Family,Subsequent Commercial Careers,,,,,"Suwalki, Poland","Utica, New York","Evansville, Indiana","Newburg, Indiana","Kendleton, Indiana","Lincoln City, Indiana","Richland, Indiana","Rockport, Indiana","Booneville, Indiana","Kansas City, Missouri","New York, New York","Leavenworth, Kansas",,,,,,,,,,,,,,,,,,,,,,,,,"Denebeim, Abraham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872-1927
jp_cite_00321,Victims of Crime,Routes,Family,Religious Practices,,,,,,,"Meknes, Morocco","Sefrou, Morocco","Fez, Morocco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800-1900
jp_cite_00322,Family,Subsequent Commercial Careers,,,,,,,,,Morocco,Turkey,"Damascus, Syria","Buenos Aires, Argentina",Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1925
jp_cite_00323,Wares,Transportation,Subsequent Commercial Careers,,,,,,,,"Muskegon, Michigan","Seattle, Washington","Warsaw, Poland","Rochester, Michigan","Detroit, Michigan","Hart, Michigan","Shelby, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goldman, Israel","Gudelsky, Israel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1902
jp_cite_00324,Wares,Family,,,,,,,,,New Mexico,"Vilnius, Lithuania","Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885-1907
jp_cite_00325,Anti-Semitic Rhetoric,Wares,Restrictions on Itinerant Commerce,Cultural Exchange,,,,,,,"Chicago, Illinois","New York, New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1926
jp_cite_00326,Literary or Artistic Depiction,Wares,,,,,,,,,Louisiana,Holland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bromberlay, Isaac","Efrosi, Shmuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
